ISO3,Country,Population,PopulationDensity
AFG,Afghanistan,38041757,58.269
ALB,Albania,2880913,105.143
DZA,Algeria,43053054,18.076
ASM,American Samoa,55312,276.56
AND,Andorra,77146,164.14
AGO,Angola,31825299,25.528
AIA,Anguilla,14872,165.24400000000003
ATG,Antigua and Barbuda,97115,220.716
ARG,Argentina,44780675,16.363
ARM,Armenia,2957728,103.889
ABW,Aruba,106310,590.611
AUS,Australia,25203200,3.281
AUT,Austria,8955108,108.667
AZE,Azerbaijan,10047719,121.558
BHS,Bahamas,389486,38.91
BHR,Bahrain,1641164,2159.426
BGD,Bangladesh,163046173,1252.563
BRB,Barbados,287020,667.4910000000001
BLR,Belarus,9452409,46.584
BEL,Belgium,11539326,381.087
BLZ,Belize,390351,17.113
BEN,Benin,11801151,104.657
BMU,Bermuda,62508,1250.16
BTN,Bhutan,763093,20.02
BOL,Bolivia (Plurinational State of),11513101,10.628
BES,"Bonaire, Sint Eustatius and Saba",25983,79.21600000000002
BIH,Bosnia and Herzegovina,3300998,64.725
BWA,Botswana,2303703,4.065
BRA,Brazil,211049518,25.251
VGB,British Virgin Islands,30033,200.22
BRN,Brunei Darussalam,433296,82.219
BGR,Bulgaria,7000116,64.482
BFA,Burkina Faso,20321383,74.274
BDI,Burundi,11530577,449.01
CPV,Cabo Verde,549936,136.461
KHM,Cambodia,16486542,93.398
CMR,Cameroon,25876387,54.74100000000001
CAN,Canada,37411038,4.114
CYM,Cayman Islands,64948,270.617
CAF,Central African Republic,4745179,7.617000000000001
TCD,Chad,15946882,12.664
CHI,Channel Islands,172264,906.653
CHL,Chile,18952035,25.489
CHN,China,1433783691,152.722
HKG,"China, Hong Kong SAR",7436156,7082.054
MAC,"China, Macao SAR",640446,21419.599
TWN,"China, Taiwan Province of China",23773881,671.3889999999999
COL,Colombia,50339443,45.371
COM,Comoros,850891,457.222
COG,Congo,5380504,15.755999999999998
COK,Cook Islands,17547,73.112
CRI,Costa Rica,5047561,98.855
HRV,Croatia,4130299,73.808
CUB,Cuba,11333483,106.478
CUW,Curaçao,163423,368.07
CYP,Cyprus,1198573,129.716
CZE,Czechia,10689213,138.39
CIV,Côte d'Ivoire,25716554,80.87
PRK,Dem. People's Republic of Korea,25666158,213.156
COD,Democratic Republic of the Congo,86790568,38.283
DNK,Denmark,5771876,136.033
DJI,Djibouti,973557,42.0
DMA,Dominica,71808,95.744
DOM,Dominican Republic,10738957,222.247
ECU,Ecuador,17373657,69.954
EGY,Egypt,100388076,100.847
SLV,El Salvador,6453550,311.465
GNQ,Equatorial Guinea,1355982,48.342
ERI,Eritrea,3497117,34.625
EST,Estonia,1325649,31.273000000000003
SWZ,Eswatini,1148133,66.752
